source_ip,destination_ip,source_port,destination_port,protocol,packet_size,inter_arrival_time,payload_size,flow_duration,total_packets,total_bytes,flow_direction,session_duration,session_count,mean_packet_size,variance_packet_size,entropy,access_patterns,usage_frequency,temporal_patterns,country,region,city,application_data,behavioral_pattern,network_context
192.168.1.239,144.195.31.55,49484,8801,UDP,298,0.0,284,0.0,1,298,outbound,0.0,1,298.0,0.0,-0.0,192.168.1.239->144.195.31.55:8801,0,2024-08-21 18:04:33,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,599,0.0,585,0.0,1,599,outbound,0.0,1,599.0,0.0,-0.0,192.168.1.239->144.195.31.55:8801,0,2024-08-21 18:04:34,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,104,0.0,90,0.0,1,104,outbound,0.0,1,104.0,0.0,-0.0,192.168.1.239->144.195.31.55:8801,0,2024-08-21 18:04:34,US,California,San Jose,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,51487,UDP,69,0.0,55,0.0,1,69,outbound,0.0,1,69.0,0.0,-0.0,144.195.31.55->192.168.1.239:51487,0,2024-08-21 18:04:34,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,599,0.609896183013916,585,0.609896183013916,2,1198,outbound,0.609896183013916,2,599.0,0.0,-0.0,192.168.1.239->144.195.31.55:8801,3.2792466254119286,2024-08-21 18:04:35,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,599,0.20779991149902344,585,0.8176960945129395,3,1797,outbound,0.8176960945129395,3,599.0,0.0,-0.0,192.168.1.239->144.195.31.55:8801,3.6688447213227176,2024-08-21 18:04:35,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,270,1.5539581775665283,256,1.5539581775665283,2,568,outbound,1.5539581775665283,2,284.0,196.0,1.0,192.168.1.239->144.195.31.55:8801,1.28703592469391,2024-08-21 18:04:35,US,California,San Jose,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,49484,UDP,140,0.0,126,0.0,1,140,outbound,0.0,1,140.0,0.0,-0.0,144.195.31.55->192.168.1.239:49484,0,2024-08-21 18:04:35,Unknown,Unknown,Unknown,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,443,56495,TCP,136,0.0,122,0.0,1,136,outbound,0.0,1,136.0,0.0,-0.0,144.195.31.55->192.168.1.239:56495,0,2024-08-21 18:04:35,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,56495,443,TCP,66,0.0,52,0.0,1,66,outbound,0.0,1,66.0,0.0,-0.0,192.168.1.239->144.195.31.55:443,0,2024-08-21 18:04:36,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,56495,443,TCP,109,0.1990070343017578,95,0.1990070343017578,2,175,outbound,0.1990070343017578,2,87.5,462.25,1.0,192.168.1.239->144.195.31.55:443,10.049896010044375,2024-08-21 18:04:36,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,928,1.9074501991271973,914,1.9074501991271973,2,1032,outbound,1.9074501991271973,2,516.0,169744.0,1.0,192.168.1.239->144.195.31.55:8801,1.0485201663011445,2024-08-21 18:04:36,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,928,0.1996901035308838,914,2.107140302658081,3,1960,outbound,2.107140302658081,3,653.3333333333334,150883.55555555553,0.9182958340544896,192.168.1.239->144.195.31.55:8801,1.423730539544808,2024-08-21 18:04:36,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,209,1.4468767642974854,195,3.0008349418640137,3,777,outbound,3.0008349418640137,3,259.0,1380.6666666666667,1.584962500721156,192.168.1.239->144.195.31.55:8801,0.9997217634824344,2024-08-21 18:04:36,US,California,San Jose,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,57388,UDP,549,0.0,535,0.0,1,549,outbound,0.0,1,549.0,0.0,-0.0,144.195.31.55->192.168.1.239:57388,0,2024-08-21 18:04:37,Unknown,Unknown,Unknown,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,57388,UDP,549,0.18212580680847168,535,0.18212580680847168,2,1098,outbound,0.18212580680847168,2,549.0,0.0,-0.0,144.195.31.55->192.168.1.239:57388,10.981420124075294,2024-08-21 18:04:37,Unknown,Unknown,Unknown,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,57388,UDP,548,0.20096087455749512,534,0.3830866813659668,3,1646,outbound,0.3830866813659668,3,548.6666666666666,0.2222222222222222,0.9182958340544896,144.195.31.55->192.168.1.239:57388,7.831125815449762,2024-08-21 18:04:37,Unknown,Unknown,Unknown,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,57388,UDP,548,0.21069598197937012,534,0.5937826633453369,4,2194,outbound,0.5937826633453369,4,548.5,0.25,1.0,144.195.31.55->192.168.1.239:57388,6.736471518828511,2024-08-21 18:04:37,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,158,1.0788443088531494,144,4.079679250717163,4,935,outbound,4.079679250717163,4,233.75,2948.1875,2.0,192.168.1.239->144.195.31.55:8801,0.9804692364716769,2024-08-21 18:04:38,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,104,1.4906458854675293,90,3.5977861881256104,4,2064,outbound,3.5977861881256104,4,516.0,169744.0,1.0,192.168.1.239->144.195.31.55:8801,1.1117948068181163,2024-08-21 18:04:38,US,California,San Jose,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,51487,UDP,69,3.5915162563323975,55,3.5915162563323975,2,138,outbound,3.5915162563323975,2,69.0,0.0,-0.0,144.195.31.55->192.168.1.239:51487,0.5568678678465373,2024-08-21 18:04:38,Unknown,Unknown,Unknown,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,57388,UDP,222,0.8044610023498535,208,1.3982436656951904,5,2416,outbound,1.3982436656951904,5,483.2,17056.559999999998,1.5219280948873621,144.195.31.55->192.168.1.239:57388,3.575914643971627,2024-08-21 18:04:38,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,535,0.6150779724121094,521,4.21286416053772,5,2599,outbound,4.21286416053772,5,519.8,135852.96000000002,1.5219280948873621,192.168.1.239->144.195.31.55:8801,1.186841020613827,2024-08-21 18:04:38,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,855,3.7876999378204346,841,4.605396032333374,4,2652,outbound,4.605396032333374,4,663.0,12288.0,0.8112781244591328,192.168.1.239->144.195.31.55:8801,0.8685463686330047,2024-08-21 18:04:39,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,657,0.19373798370361328,643,4.799134016036987,5,3309,outbound,4.799134016036987,5,661.8,9836.16,1.3709505944546687,192.168.1.239->144.195.31.55:8801,1.0418546311254886,2024-08-21 18:04:39,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,157,1.3983309268951416,143,5.478010177612305,5,1092,outbound,5.478010177612305,5,218.4,3301.0399999999995,2.321928094887362,192.168.1.239->144.195.31.55:8801,0.9127401808113006,2024-08-21 18:04:39,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,156,0.2647097110748291,142,5.742719888687134,6,1248,outbound,5.742719888687134,6,208.0,3291.6666666666665,2.584962500721156,192.168.1.239->144.195.31.55:8801,1.0448010901279887,2024-08-21 18:04:39,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,661,1.0624549388885498,647,5.2753190994262695,6,3260,outbound,5.2753190994262695,6,543.3333333333334,115979.88888888889,1.9182958340544893,192.168.1.239->144.195.31.55:8801,1.137371955499819,2024-08-21 18:04:39,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,104,0.2280271053314209,90,5.50334620475769,7,3364,outbound,5.50334620475769,7,480.57142857142856,123045.67346938777,1.8423709931771088,192.168.1.239->144.195.31.55:8801,1.2719534151692,2024-08-21 18:04:40,US,California,San Jose,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,51487,UDP,69,1.9089488983154297,55,5.500465154647827,3,207,outbound,5.500465154647827,3,69.0,0.0,-0.0,144.195.31.55->192.168.1.239:51487,0.5454084183162284,2024-08-21 18:04:40,Unknown,Unknown,Unknown,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,57388,UDP,1019,1.9092111587524414,1005,3.307454824447632,6,3435,outbound,3.307454824447632,6,572.5,54086.25,1.9182958340544893,144.195.31.55->192.168.1.239:57388,1.814083734613682,2024-08-21 18:04:40,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,165,1.5785109996795654,151,6.377645015716553,6,3474,outbound,6.377645015716553,6,579.0,42476.0,1.7924812503605778,192.168.1.239->144.195.31.55:8801,0.9407861342570941,2024-08-21 18:04:40,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,158,1.308044195175171,144,7.050764083862305,7,1406,outbound,7.050764083862305,7,200.85714285714286,3127.5510204081634,2.521640636343318,192.168.1.239->144.195.31.55:8801,0.9928002010479271,2024-08-21 18:04:41,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,583,0.3939042091369629,569,6.771549224853516,7,4057,outbound,6.771549224853516,7,579.5714285714286,36409.959183673476,2.1280852788913944,192.168.1.239->144.195.31.55:8801,1.0337368551214254,2024-08-21 18:04:41,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,583,0.21536898612976074,569,6.986918210983276,8,4640,outbound,6.986918210983276,8,580.0,31860.0,2.1556390622295662,192.168.1.239->144.195.31.55:8801,1.1449969440638623,2024-08-21 18:04:41,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,583,0.19826102256774902,569,7.185179233551025,9,5223,outbound,7.185179233551025,9,580.3333333333334,28320.88888888889,2.113283334294875,192.168.1.239->144.195.31.55:8801,1.2525783571236069,2024-08-21 18:04:41,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,156,0.8078649044036865,142,7.858628988265991,8,1562,outbound,7.858628988265991,8,195.25,2956.6875,2.5,192.168.1.239->144.195.31.55:8801,1.0179892716585928,2024-08-21 18:04:41,US,California,San Jose,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,49484,UDP,144,6.298862934112549,130,6.298862934112549,2,284,outbound,6.298862934112549,2,142.0,4.0,1.0,144.195.31.55->192.168.1.239:49484,0.3175176251524167,2024-08-21 18:04:42,Unknown,Unknown,Unknown,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,8801,57388,UDP,554,1.6896400451660156,540,4.9970948696136475,7,3989,outbound,4.9970948696136475,7,569.8571428571429,46401.551020408166,2.2359263506290326,144.195.31.55->192.168.1.239:57388,1.400813909410771,2024-08-21 18:04:42,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,34.117.59.81,56556,443,TCP,78,0.0,64,0.0,1,78,outbound,0.0,1,78.0,0.0,-0.0,192.168.1.239->34.117.59.81:443,0,2024-08-21 18:04:42,US,Missouri,Kansas City,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,151,0.8961539268493652,137,8.754782915115356,9,1713,outbound,8.754782915115356,9,190.33333333333334,2821.555555555556,2.725480556997868,192.168.1.239->144.195.31.55:8801,1.0280094991803017,2024-08-21 18:04:42,US,California,San Jose,Unknown,Normal,Normal
144.195.31.55,192.168.1.239,443,56495,TCP,66,6.980958938598633,52,6.980958938598633,2,202,outbound,6.980958938598633,2,101.0,1225.0,1.0,144.195.31.55->192.168.1.239:56495,0.2864935917244462,2024-08-21 18:04:42,Unknown,Unknown,Unknown,Unknown,Normal,Normal
